City,2016,2017,2018,2019,2020,2021,2022,2023,2024
Andijan,30.053800538592366,29.97938270569162,29.920804117837434,30.275406171348312,29.41686643636879,29.72951031191841,29.85496330602986,30.07994551958744,29.83218882078711
Bukhara,30.299695533377157,29.87880190022403,30.357252683869554,30.387839044914408,29.842672900752977,29.789373565754094,29.97510518432461,30.49468623513797,29.90379948868843
Fergana,30.82215375414136,30.45441550721037,30.670415999696406,30.749422474454402,30.11278212526769,29.97150211687864,30.296017732786243,30.080166252524347,30.158467422200452
Gulistan,30.834805775694498,29.832720358754557,29.828033197110944,30.23992507485247,29.390002664234327,30.043241084286837,29.73808085774436,29.76395226062957,29.672578104511985
Jizzakh,31.816185120276707,31.666922242214792,31.935619936296025,31.622823850996692,30.80679444447285,32.24042837780508,31.34260997328067,32.068853077540375,31.87934590152711
Namangan,30.295932654697967,29.853661423663812,29.817765929353712,29.62988270235173,29.194127621363624,29.285982790432726,29.574190025783945,30.35771263635757,29.981203255643663
Navoiy,32.93718402461276,33.133444706057745,33.135843354731165,32.89816043730292,32.63839490333019,33.16454576288364,32.46237848058966,33.35577782446539,32.40925254476674
Nukus,32.02956719286086,31.848935175685416,32.10015176716045,31.506682242521237,32.18177769025198,33.078952371260804,31.500020905961126,32.10518695571703,31.89151211685801
Nurafshon,28.794374108485304,28.265691800883292,28.60973339142429,28.719403610808847,27.667866718402525,28.972543297306093,28.648752391667077,28.77103546051615,28.55967099521842
Qarshi,32.646159745455165,32.10748329361744,32.50651161892982,32.16455489825876,31.689286560809162,32.76447765952776,31.65159597432525,32.54998392171503,31.785973639918126
Samarkand,29.048768688208966,28.98857054056313,29.40487143399788,29.72909985852572,28.246279573734,29.71138270545987,28.685549210419545,29.919269859337085,29.046011771439257
Tashkent,30.388707830391862,30.21832254046443,30.428614276639003,30.659899818672944,30.12905806123411,31.05743298058358,30.69268879307646,31.140596931856212,30.78318016421507
Termez,32.282985551954624,31.546703918552087,32.21362455606754,32.63589141469695,32.44475161829123,32.30301825992231,31.754170596262878,31.56713651954469,31.876321002631844
Urgench,28.917331334280565,28.59424939620269,29.490159112306326,28.860026444808856,29.000833793952143,29.382580704230932,28.261049994631232,28.667769267969952,28.356273292163785
