City,Temperature_Anomaly,Heat_Island_Intensity,Temperature_Trend,Extreme_Heat_Days,Hazard_Score
Andijan,0.0,0.9573333333333334,0.5,0.32,0.4512
Bukhara,0.0,0.48777777777777775,0.5,0.6,0.3663333333333333
Fergana,0.0,0.604,0.5,0.36,0.3532
Gulistan,0.0,0.1,0.5,0.5,0.23
Jizzakh,0.0,0.324,0.5,0.44,0.2852
Namangan,0.0,1.0,0.5,0.3,0.46
Navoiy,0.0,0.24733333333333332,0.5,0.64,0.3022
Nukus,0.0,0.6426666666666667,0.5,0.5,0.39280000000000004
Nurafshon,0.0,0.1,0.5,0.36,0.202
Qarshi,0.0,0.5457777777777778,0.5,0.7,0.4037333333333334
